TripDate,Destination,Material,Weight
1/7/15,ROCKY MTN,SINGLE STR,0.92
1/14/15,ROCKY MTN,SINGLE STR,0.83
1/16/15,ROCKY MTN,SINGLE STR,0.40
1/19/15,ROCKY MTN,SINGLE STR,0.17
1/21/15,ROCKY MTN,SINGLE STR,0.41
1/26/15,ROCKY MTN,SINGLE STR,0.17
1/28/15,ROCKY MTN,SINGLE STR,0.50
1/30/15,ROCKY MTN,SINGLE STR,0.32
1/7/15,WASTE MSW,TRASH,1.82
1/12/15,WASTE MSW,TRASH,1.95
1/14/15,SSL MSW,TRASH,0.79
1/14/15,SSL MSW,TRASH,1.01
1/16/15,WASTE MSW,TRASH,1.99
1/19/15,SSL MSW,TRASH,1.01
1/21/15,SSL MSW,TRASH,1.29
1/21/15,SSL MSW,TRASH,0.88
1/23/15,WASTE MSW,TRASH,0.51
1/23/15,WASTE MSW,TRASH,1.53
1/27/15,WASTE MSW,TRASH,1.55
1/28/15,SSL MSW,TRASH,0.59
1/28/15,SSL MSW,TRASH,0.21
1/30/15,SSL MSW,TRASH,1.16
2/2/15,ROCKY MTN,SINGLE STR,0.08
2/4/15,ROCKY MTN,SINGLE STR,0.47
2/6/15,ROCKY MTN,SINGLE STR,0.43
2/9/15,ROCKY MTN,SINGLE STR,0.32
2/12/15,ROCKY MTN,SINGLE STR,0.47
2/13/15,ROCKY MTN,SINGLE STR,0.32
2/16/15,ROCKY MTN,SINGLE STR,0.27
2/18/15,ROCKY MTN,SINGLE STR,0.47
2/20/15,ROCKY MTN,SINGLE STR,0.47
2/23/15,ROCKY MTN,SINGLE STR,0.21
2/25/15,ROCKY MTN,SINGLE STR,0.38
2/27/15,ROCKY MTN,SINGLE STR,0.24
2/2/15,WASTE MSW,TRASH,1.85
2/4/15,WASTE MSW,TRASH,1.66
2/4/15,SSL MSW,TRASH,0.99
2/6/15,WASTE MSW,TRASH,1.70
2/9/15,SSL MSW,TRASH,1.46
2/11/15,WASTE MSW,TRASH,1.56
2/11/15,SSL MSW,TRASH,0.44
2/13/15,WASTE MSW,TRASH,0.70
2/16/15,WASTE MSW,TRASH,1.48
2/18/15,WASTE MSW,TRASH,1.32
2/18/15,WASTE MSW,TRASH,1.09
2/20/15,WASTE MSW,TRASH,1.36
2/23/15,SSL MSW,TRASH,0.59
2/25/15,WASTE MSW,TRASH,1.10
2/25/15,WASTE MSW,TRASH,1.53
2/27/15,WASTE MSW,TRASH,1.36
3/11/15,ROCKY MTN,Cardboard,0.23
3/2/15,ROCKY MTN,SINGLE STR,0.32
3/4/15,ROCKY MTN,SINGLE STR,0.41
3/6/15,ROCKY MTN,SINGLE STR,0.37
3/9/15,ROCKY MTN,SINGLE STR,0.29
3/13/15,ROCKY MTN,SINGLE STR,0.16
3/18/15,ROCKY MTN,SINGLE STR,0.48
3/20/15,ROCKY MTN,SINGLE STR,0.44
3/23/15,ROCKY MTN,SINGLE STR,0.44
3/25/15,ROCKY MTN,SINGLE STR,0.35
3/27/15,ROCKY MTN,SINGLE STR,0.33
3/30/15,ROCKY MTN,SINGLE STR,0.43
3/2/15,WASTE MSW,TRASH,0.92
3/4/15,SSL MSW,TRASH,0.94
3/4/15,SSL MSW,TRASH,0.83
3/6/15,SSL MSW,TRASH,0.84
3/9/15,WASTE MSW,TRASH,0.80
3/11/15,WASTE MSW,TRASH,0.30
3/11/15,WASTE MSW,TRASH,0.90
3/13/15,WASTE MSW,TRASH,0.20
3/16/15,WASTE MSW,TRASH,0.52
3/18/15,WASTE MSW,TRASH,1.54
3/20/15,WASTE MSW,TRASH,1.30
3/23/15,WASTE MSW,TRASH,0.93
3/25/15,SSL MSW,TRASH,0.95
3/25/15,SSL MSW,TRASH,1.08
3/27/15,WASTE MSW,TRASH,1.37
3/30/15,WASTE MSW,TRASH,1.51
4/8/15,CENTRAL VA,C&D,1.25
4/20/15,CENTRAL VA,C&D,1.04
4/1/15,ROCKY MTN,SINGLE STR,0.73
4/3/15,ROCKY MTN,SINGLE STR,0.52
4/6/15,ROCKY MTN,SINGLE STR,0.28
4/10/15,ROCKY MTN,SINGLE STR,0.71
4/13/15,ROCKY MTN,SINGLE STR,0.19
4/15/15,ROCKY MTN,SINGLE STR,0.66
4/17/15,ROCKY MTN,SINGLE STR,0.52
4/20/15,ROCKY MTN,SINGLE STR,0.28
4/22/15,ROCKY MTN,SINGLE STR,0.53
4/24/15,ROCKY MTN,SINGLE STR,0.47
4/27/15,ROCKY MTN,SINGLE STR,0.30
4/29/15,ROCKY MTN,SINGLE STR,0.46
4/1/15,WASTE MSW,TRASH,0.94
4/1/15,WASTE MSW,TRASH,1.36
4/3/15,SSL MSW,TRASH,0.47
4/6/15,WASTE MSW,TRASH,1.19
4/8/15,WASTE MSW,TRASH,0.74
4/10/15,WASTE MSW,TRASH,1.30
4/13/15,WASTE MSW,TRASH,0.76
4/15/15,WASTE MSW,TRASH,1.50
4/15/15,WASTE MSW,TRASH,2.15
4/17/15,WASTE MSW,TRASH,2.32
